Galaxy name	RAJ2000 (deg)	DEJ2000 (deg)	D25 semi-major axis (arcmin)	D25 semi-minor axis (arcmin)	D25 positional angle, North-to-Northeast (deg)	Inclination angle (deg)	Luminosity distance (Mpc)	logSFR_HEC	logM_HEC	mean_exposure_Hr
PGC1197251	129.39163	1.515804	0.133	0.084	106.8	53.94	3.1279	-3.124	7.0303	6.09
PGC1263558	168.480063	4.105199	0.21	0.157	134.4	47.26	20.3236	-1.866	7.8411	17.19
PGC1277883	140.14465	5.084031	0.199	0.141	17.1	45.82	1.0818	-4.394	6.2921	14.37
PGC1279440	186.862377	5.187938	0.158	0.132	9.8	37.64	17.6253	-1.87	7.4898	17.59
PGC1291407	144.877786	5.922142	0.133	0.088	93.0	49.72	2.6444	-3.203	6.7298	13.21
PGC1308051	192.092526	6.816143	0.124	0.104	133.3	34.35	3.448	-3.522	6.5107	17.98
PGC1309283	176.734071	6.877636	0.169	0.104	12.3	53.14	2.4596	-3.47	6.6049	18.05
PGC1319696	225.874361	7.349044	0.134	0.113	117.2	32.97	3.8827	-3.12	6.8188	18.7
PGC1353180	200.993259	8.759057	0.157	0.124	42.2	38.13	3.8786	-3.131	6.2989	12.64
PGC1382031	179.691672	10.614432	0.197	0.123	76.6	52.61	2.8877	-3.275	6.7712	7.64
PGC1400945	179.381239	11.924497	0.145	0.107	144.6	43.64	2.9828	-3.343	6.8603	18.64
PGC1408268	218.742833	12.367215	0.171	0.126	174.2	43.56	2.7457	-3.547	7.0036	18.94
PGC1421948	211.659323	13.059371	0.173	0.131	112.6	41.47	3.1777	-2.86	6.3929	4.9
PGC1431845	120.564791	13.471419	0.132	0.089	165.0	48.49	1.1363	-3.943	5.4806	10.7
PGC1438155	121.842558	13.70461	0.119	0.072	128.0	54.21	3.9764	-3.475	6.4834	17.02
PGC1457381	125.703054	14.411197	0.137	0.109	65.6	38.13	1.547	-4.03	6.1947	13.69
